scope,variant,sample_count,fake_recall,mean_fake_prob,mean_probability_delta,recall_retention
BigGAN,original,250,0.988,0.867157198548317,0.0,1.0
BigGAN,jpeg75,250,0.984,0.8665655254125595,-0.0005916731357574463,0.9959514170040485
BigGAN,jpeg50,250,0.94,0.767792242705822,-0.09936495584249497,0.951417004048583
BigGAN,resize50,250,0.976,0.8102891730070114,-0.056868025541305545,0.9878542510121457
BigGAN,screenshot,250,0.984,0.85324751329422,-0.013909685254096985,0.9959514170040485
CycleGAN,original,250,1.0,0.9203331716060639,0.0,1.0
CycleGAN,jpeg75,250,0.3,0.34744540792703626,-0.5728877636790276,0.3
CycleGAN,jpeg50,250,0.012,0.10030146624147893,-0.8200317053645849,0.012
CycleGAN,resize50,250,1.0,0.937905160188675,0.017571988582611085,1.0
CycleGAN,screenshot,250,0.832,0.76372450889647,-0.15660866270959378,0.832
DALLE,original,250,0.976,0.8761098551154136,0.0,1.0
DALLE,jpeg75,250,0.128,0.28920529030263425,-0.5869045648127794,0.13114754098360656
DALLE,jpeg50,250,0.072,0.2179774789661169,-0.6581323761492968,0.07377049180327869
DALLE,resize50,250,0.992,0.9206253006458283,0.04451544553041458,1.0163934426229508
DALLE,screenshot,250,0.5,0.5183376043438911,-0.3577722507715225,0.5122950819672131
Flux,original,250,1.0,0.9061687388420105,0.0,1.0
Flux,jpeg75,250,0.008,0.10211584605276584,-0.8040528927892446,0.008
Flux,jpeg50,250,0.0,0.06173438201099634,-0.8444343568310142,0.0
Flux,resize50,250,1.0,0.9146815161705018,0.00851277732849121,1.0
Flux,screenshot,250,0.784,0.7033292820155621,-0.20283945682644844,0.784
Glide,original,250,0.984,0.9137928981781006,0.0,1.0
Glide,jpeg75,250,0.12,0.22959320084005594,-0.6841996973380446,0.12195121951219512
Glide,jpeg50,250,0.036,0.14593217027932406,-0.7678607278987766,0.036585365853658534
Glide,resize50,250,0.992,0.9244774850010872,0.010684586822986604,1.008130081300813
Glide,screenshot,250,0.524,0.5546297950968146,-0.35916310308128596,0.5325203252032521
LatentDM,original,250,0.996,0.9145567517280578,0.0,1.0
LatentDM,jpeg75,250,0.112,0.22176075257360936,-0.6927959991544486,0.11244979919678715
LatentDM,jpeg50,250,0.004,0.10988877670094371,-0.8046679750271142,0.004016064257028113
LatentDM,resize50,250,0.996,0.9366647424101829,0.02210799068212509,1.0
LatentDM,screenshot,250,0.688,0.6240380798727274,-0.2905186718553305,0.6907630522088353
Midjourney,original,250,0.924,0.8164880572706461,0.0,1.0
Midjourney,jpeg75,250,0.036,0.1498836116194725,-0.6666044456511736,0.03896103896103895
Midjourney,jpeg50,250,0.008,0.09957505166530609,-0.71691300560534,0.008658008658008658
Midjourney,resize50,250,0.98,0.8958784767091275,0.07939041943848132,1.0606060606060606
Midjourney,screenshot,250,0.216,0.29525428016483785,-0.5212337771058082,0.23376623376623376
SD14,original,250,0.956,0.8546569353342056,0.0,1.0
SD14,jpeg75,250,0.052,0.13372602705284953,-0.7209309082813561,0.05439330543933055
SD14,jpeg50,250,0.008,0.08741442747041583,-0.7672425078637898,0.008368200836820085
SD14,resize50,250,0.98,0.909937955737114,0.055281020402908325,1.0251046025104602
SD14,screenshot,250,0.356,0.36894412986561653,-0.4857128054685891,0.3723849372384937
SD15,original,250,0.996,0.9095339679718017,0.0,1.0
SD15,jpeg75,250,0.004,0.10986889198422432,-0.7996650759875774,0.004016064257028113
SD15,jpeg50,250,0.0,0.09595069769024848,-0.8135832702815533,0.0
SD15,resize50,250,1.0,0.9299345209598541,0.020400552988052368,1.0040160642570282
SD15,screenshot,250,0.128,0.25215479789674283,-0.657379170075059,0.12851405622489961
