sample_id,condition,fake_prob,ground_truth
ADM/0_adm_174.PNG,Original,0.489686,fake
ADM/100_adm_174.PNG,Original,0.974074,fake
ADM/101_adm_85.PNG,Original,0.950218,fake
ADM/105_adm_174.PNG,Original,0.903627,fake
ADM/106_adm_174.PNG,Original,0.567520,fake
ADM/106_adm_34.PNG,Original,0.944515,fake
ADM/107_adm_85.PNG,Original,0.114388,fake
ADM/108_adm_85.PNG,Original,0.136609,fake
ADM/108_adm_91.PNG,Original,0.106678,fake
ADM/109_adm_7.PNG,Original,0.256431,fake
ADM/10_adm_7.PNG,Original,0.957254,fake
ADM/111_adm_174.PNG,Original,0.483366,fake
ADM/112_adm_34.PNG,Original,0.080380,fake
ADM/113_adm_174.PNG,Original,0.826088,fake
ADM/114_adm_91.PNG,Original,0.257968,fake
ADM/119_adm_34.PNG,Original,0.557578,fake
ADM/119_adm_7.PNG,Original,0.143909,fake
ADM/11_adm_174.PNG,Original,0.970793,fake
ADM/11_adm_85.PNG,Original,0.973290,fake
ADM/120_adm_174.PNG,Original,0.082630,fake
ADM/122_adm_34.PNG,Original,0.223725,fake
ADM/122_adm_7.PNG,Original,0.052612,fake
ADM/124_adm_34.PNG,Original,0.111813,fake
ADM/126_adm_7.PNG,Original,0.771823,fake
ADM/127_adm_85.PNG,Original,0.935438,fake
ADM/128_adm_7.PNG,Original,0.661787,fake
ADM/129_adm_174.PNG,Original,0.573129,fake
ADM/129_adm_34.PNG,Original,0.929978,fake
ADM/130_adm_7.PNG,Original,0.697851,fake
ADM/130_adm_91.PNG,Original,0.892220,fake
ADM/131_adm_34.PNG,Original,0.958743,fake
ADM/132_adm_85.PNG,Original,0.898945,fake
ADM/133_adm_34.PNG,Original,0.960143,fake
ADM/134_adm_153.PNG,Original,0.599176,fake
ADM/135_adm_85.PNG,Original,0.910933,fake
ADM/135_adm_91.PNG,Original,0.937012,fake
ADM/138_adm_34.PNG,Original,0.658345,fake
ADM/139_adm_174.PNG,Original,0.967008,fake
ADM/13_adm_153.PNG,Original,0.959265,fake
ADM/13_adm_174.PNG,Original,0.979633,fake
ADM/13_adm_34.PNG,Original,0.904680,fake
ADM/13_adm_85.PNG,Original,0.956047,fake
ADM/140_adm_34.PNG,Original,0.834561,fake
ADM/140_adm_91.PNG,Original,0.940129,fake
ADM/141_adm_153.PNG,Original,0.966768,fake
ADM/141_adm_174.PNG,Original,0.329207,fake
ADM/141_adm_34.PNG,Original,0.981215,fake
ADM/142_adm_91.PNG,Original,0.892682,fake
ADM/144_adm_174.PNG,Original,0.947831,fake
ADM/146_adm_174.PNG,Original,0.985449,fake
ADM/146_adm_91.PNG,Original,0.573808,fake
ADM/147_adm_85.PNG,Original,0.141961,fake
ADM/147_adm_91.PNG,Original,0.228058,fake
ADM/148_adm_91.PNG,Original,0.471970,fake
ADM/149_adm_174.PNG,Original,0.087866,fake
ADM/149_adm_7.PNG,Original,0.072737,fake
ADM/150_adm_174.PNG,Original,0.491532,fake
ADM/150_adm_34.PNG,Original,0.892548,fake
ADM/150_adm_91.PNG,Original,0.952207,fake
ADM/151_adm_7.PNG,Original,0.882131,fake
ADM/152_adm_85.PNG,Original,0.378359,fake
ADM/153_adm_85.PNG,Original,0.965170,fake
ADM/155_adm_174.PNG,Original,0.757037,fake
ADM/155_adm_91.PNG,Original,0.884287,fake
ADM/157_adm_153.PNG,Original,0.968414,fake
ADM/158_adm_153.PNG,Original,0.646638,fake
ADM/158_adm_34.PNG,Original,0.146350,fake
ADM/158_adm_91.PNG,Original,0.821962,fake
ADM/161_adm_153.PNG,Original,0.967467,fake
ADM/161_adm_85.PNG,Original,0.854878,fake
ADM/162_adm_174.PNG,Original,0.944845,fake
ADM/163_adm_153.PNG,Original,0.953952,fake
ADM/168_adm_91.PNG,Original,0.857943,fake
ADM/169_adm_153.PNG,Original,0.141584,fake
ADM/169_adm_174.PNG,Original,0.397900,fake
ADM/169_adm_85.PNG,Original,0.110576,fake
ADM/175_adm_34.PNG,Original,0.607596,fake
ADM/175_adm_91.PNG,Original,0.913481,fake
ADM/176_adm_34.PNG,Original,0.871588,fake
ADM/177_adm_34.PNG,Original,0.087566,fake
ADM/177_adm_85.PNG,Original,0.310872,fake
ADM/178_adm_34.PNG,Original,0.980219,fake
ADM/179_adm_91.PNG,Original,0.768445,fake
ADM/17_adm_34.PNG,Original,0.949038,fake
ADM/17_adm_91.PNG,Original,0.943024,fake
ADM/180_adm_174.PNG,Original,0.976162,fake
ADM/182_adm_7.PNG,Original,0.426693,fake
ADM/182_adm_91.PNG,Original,0.931545,fake
ADM/183_adm_85.PNG,Original,0.691615,fake
ADM/185_adm_91.PNG,Original,0.688441,fake
ADM/187_adm_153.PNG,Original,0.939820,fake
ADM/187_adm_174.PNG,Original,0.450014,fake
ADM/189_adm_174.PNG,Original,0.141852,fake
ADM/190_adm_7.PNG,Original,0.397283,fake
ADM/191_adm_34.PNG,Original,0.838011,fake
ADM/191_adm_91.PNG,Original,0.945947,fake
ADM/192_adm_174.PNG,Original,0.271959,fake
ADM/196_adm_174.PNG,Original,0.081907,fake
ADM/197_adm_7.PNG,Original,0.800665,fake
ADM/197_adm_85.PNG,Original,0.539068,fake
ADM/198_adm_34.PNG,Original,0.939793,fake
ADM/19_adm_174.PNG,Original,0.848374,fake
ADM/200_adm_85.PNG,Original,0.954693,fake
ADM/202_adm_91.PNG,Original,0.097696,fake
ADM/203_adm_174.PNG,Original,0.955955,fake
ADM/204_adm_85.PNG,Original,0.797419,fake
ADM/205_adm_174.PNG,Original,0.474439,fake
ADM/205_adm_85.PNG,Original,0.917072,fake
ADM/206_adm_153.PNG,Original,0.394895,fake
ADM/207_adm_91.PNG,Original,0.982180,fake
ADM/208_adm_7.PNG,Original,0.472099,fake
ADM/209_adm_153.PNG,Original,0.938592,fake
ADM/209_adm_85.PNG,Original,0.163468,fake
ADM/210_adm_7.PNG,Original,0.945057,fake
ADM/211_adm_153.PNG,Original,0.111732,fake
ADM/211_adm_85.PNG,Original,0.946502,fake
ADM/215_adm_85.PNG,Original,0.898763,fake
ADM/215_adm_91.PNG,Original,0.329283,fake
ADM/216_adm_7.PNG,Original,0.666485,fake
ADM/217_adm_91.PNG,Original,0.960783,fake
ADM/218_adm_7.PNG,Original,0.914938,fake
ADM/219_adm_153.PNG,Original,0.203803,fake
ADM/219_adm_85.PNG,Original,0.782883,fake
ADM/220_adm_174.PNG,Original,0.433665,fake
ADM/222_adm_7.PNG,Original,0.714031,fake
ADM/222_adm_91.PNG,Original,0.859959,fake
ADM/223_adm_153.PNG,Original,0.319613,fake
ADM/225_adm_174.PNG,Original,0.914923,fake
ADM/227_adm_174.PNG,Original,0.557787,fake
ADM/229_adm_34.PNG,Original,0.661652,fake
ADM/230_adm_85.PNG,Original,0.889368,fake
ADM/230_adm_91.PNG,Original,0.973935,fake
ADM/231_adm_174.PNG,Original,0.248728,fake
ADM/232_adm_85.PNG,Original,0.899363,fake
ADM/232_adm_91.PNG,Original,0.965479,fake
ADM/234_adm_34.PNG,Original,0.954749,fake
ADM/236_adm_91.PNG,Original,0.831709,fake
ADM/238_adm_85.PNG,Original,0.922540,fake
ADM/23_adm_153.PNG,Original,0.088136,fake
ADM/23_adm_174.PNG,Original,0.100382,fake
ADM/240_adm_7.PNG,Original,0.921125,fake
ADM/245_adm_34.PNG,Original,0.107297,fake
ADM/247_adm_174.PNG,Original,0.960699,fake
ADM/247_adm_85.PNG,Original,0.941984,fake
ADM/247_adm_91.PNG,Original,0.756841,fake
ADM/248_adm_34.PNG,Original,0.936918,fake
ADM/24_adm_153.PNG,Original,0.751998,fake
ADM/24_adm_91.PNG,Original,0.788831,fake
ADM/251_adm_7.PNG,Original,0.920316,fake
ADM/252_adm_34.PNG,Original,0.286966,fake
ADM/254_adm_91.PNG,Original,0.051011,fake
ADM/255_adm_153.PNG,Original,0.203783,fake
ADM/255_adm_91.PNG,Original,0.933523,fake
ADM/256_adm_153.PNG,Original,0.104411,fake
ADM/256_adm_34.PNG,Original,0.370934,fake
ADM/257_adm_34.PNG,Original,0.190216,fake
ADM/257_adm_85.PNG,Original,0.505684,fake
ADM/258_adm_174.PNG,Original,0.669311,fake
ADM/263_adm_174.PNG,Original,0.069507,fake
ADM/263_adm_34.PNG,Original,0.227425,fake
ADM/264_adm_174.PNG,Original,0.262590,fake
ADM/265_adm_174.PNG,Original,0.945775,fake
ADM/267_adm_174.PNG,Original,0.831343,fake
ADM/269_adm_7.PNG,Original,0.926703,fake
ADM/270_adm_153.PNG,Original,0.953057,fake
ADM/270_adm_7.PNG,Original,0.855993,fake
ADM/270_adm_91.PNG,Original,0.934484,fake
ADM/271_adm_7.PNG,Original,0.956053,fake
ADM/273_adm_85.PNG,Original,0.054795,fake
ADM/274_adm_174.PNG,Original,0.962958,fake
ADM/274_adm_85.PNG,Original,0.566516,fake
ADM/274_adm_91.PNG,Original,0.518677,fake
ADM/275_adm_7.PNG,Original,0.954433,fake
ADM/277_adm_34.PNG,Original,0.223165,fake
ADM/277_adm_7.PNG,Original,0.254159,fake
ADM/278_adm_91.PNG,Original,0.930558,fake
ADM/27_adm_153.PNG,Original,0.978681,fake
ADM/280_adm_153.PNG,Original,0.987900,fake
ADM/281_adm_91.PNG,Original,0.806741,fake
ADM/283_adm_85.PNG,Original,0.950821,fake
ADM/284_adm_174.PNG,Original,0.965910,fake
ADM/284_adm_7.PNG,Original,0.826758,fake
ADM/285_adm_7.PNG,Original,0.264992,fake
ADM/286_adm_174.PNG,Original,0.731340,fake
ADM/286_adm_7.PNG,Original,0.956665,fake
ADM/287_adm_153.PNG,Original,0.914703,fake
ADM/287_adm_85.PNG,Original,0.905754,fake
ADM/288_adm_7.PNG,Original,0.921803,fake
ADM/28_adm_174.PNG,Original,0.933352,fake
ADM/28_adm_34.PNG,Original,0.575722,fake
ADM/28_adm_91.PNG,Original,0.137039,fake
ADM/291_adm_7.PNG,Original,0.928651,fake
ADM/291_adm_91.PNG,Original,0.975714,fake
ADM/292_adm_174.PNG,Original,0.810279,fake
ADM/292_adm_91.PNG,Original,0.918057,fake
ADM/293_adm_153.PNG,Original,0.892748,fake
ADM/293_adm_7.PNG,Original,0.855988,fake
ADM/293_adm_91.PNG,Original,0.834043,fake
ADM/297_adm_34.PNG,Original,0.946017,fake
ADM/297_adm_7.PNG,Original,0.889634,fake
ADM/298_adm_174.PNG,Original,0.939903,fake
ADM/298_adm_34.PNG,Original,0.924336,fake
ADM/29_adm_34.PNG,Original,0.207481,fake
ADM/29_adm_91.PNG,Original,0.623705,fake
ADM/300_adm_153.PNG,Original,0.222369,fake
ADM/301_adm_85.PNG,Original,0.980450,fake
ADM/303_adm_34.PNG,Original,0.976514,fake
ADM/303_adm_91.PNG,Original,0.887624,fake
ADM/305_adm_153.PNG,Original,0.369748,fake
ADM/306_adm_174.PNG,Original,0.880617,fake
ADM/306_adm_7.PNG,Original,0.934940,fake
ADM/308_adm_91.PNG,Original,0.907195,fake
ADM/310_adm_174.PNG,Original,0.891019,fake
ADM/311_adm_153.PNG,Original,0.828994,fake
ADM/313_adm_174.PNG,Original,0.870187,fake
ADM/313_adm_7.PNG,Original,0.798085,fake
ADM/315_adm_174.PNG,Original,0.667573,fake
ADM/317_adm_7.PNG,Original,0.255572,fake
ADM/318_adm_174.PNG,Original,0.859705,fake
ADM/319_adm_34.PNG,Original,0.974135,fake
ADM/320_adm_153.PNG,Original,0.959687,fake
ADM/320_adm_91.PNG,Original,0.987913,fake
ADM/323_adm_153.PNG,Original,0.966451,fake
ADM/323_adm_34.PNG,Original,0.945407,fake
ADM/323_adm_7.PNG,Original,0.935284,fake
ADM/324_adm_91.PNG,Original,0.961555,fake
ADM/325_adm_153.PNG,Original,0.894536,fake
ADM/325_adm_91.PNG,Original,0.790735,fake
ADM/326_adm_91.PNG,Original,0.974169,fake
ADM/329_adm_174.PNG,Original,0.227884,fake
ADM/329_adm_85.PNG,Original,0.072464,fake
ADM/32_adm_153.PNG,Original,0.820407,fake
ADM/330_adm_34.PNG,Original,0.096704,fake
ADM/330_adm_91.PNG,Original,0.620720,fake
ADM/331_adm_153.PNG,Original,0.936918,fake
ADM/332_adm_153.PNG,Original,0.704072,fake
ADM/333_adm_34.PNG,Original,0.937736,fake
ADM/333_adm_85.PNG,Original,0.082953,fake
ADM/334_adm_153.PNG,Original,0.920555,fake
ADM/335_adm_34.PNG,Original,0.488634,fake
ADM/335_adm_7.PNG,Original,0.775977,fake
ADM/336_adm_34.PNG,Original,0.966558,fake
ADM/337_adm_174.PNG,Original,0.935981,fake
ADM/337_adm_85.PNG,Original,0.961076,fake
ADM/338_adm_174.PNG,Original,0.964633,fake
ADM/338_adm_7.PNG,Original,0.860023,fake
ADM/339_adm_174.PNG,Original,0.727282,fake
ADM/33_adm_174.PNG,Original,0.731179,fake
ADM/341_adm_34.PNG,Original,0.718377,fake
ADM/341_adm_85.PNG,Original,0.716639,fake
ADM/343_adm_91.PNG,Original,0.112586,fake
ADM/345_adm_153.PNG,Original,0.166983,fake
ADM/348_adm_34.PNG,Original,0.512434,fake
ADM/349_adm_174.PNG,Original,0.947792,fake
ADM/349_adm_7.PNG,Original,0.595286,fake
ADM/34_adm_153.PNG,Original,0.610636,fake
ADM/34_adm_34.PNG,Original,0.860215,fake
ADM/350_adm_85.PNG,Original,0.933970,fake
ADM/351_adm_153.PNG,Original,0.492789,fake
ADM/351_adm_34.PNG,Original,0.829423,fake
ADM/352_adm_174.PNG,Original,0.827401,fake
ADM/352_adm_91.PNG,Original,0.212914,fake
ADM/357_adm_7.PNG,Original,0.957733,fake
ADM/358_adm_34.PNG,Original,0.981165,fake
ADM/360_adm_7.PNG,Original,0.518382,fake
ADM/362_adm_34.PNG,Original,0.855971,fake
ADM/362_adm_85.PNG,Original,0.957224,fake
ADM/362_adm_91.PNG,Original,0.922543,fake
ADM/363_adm_34.PNG,Original,0.969807,fake
ADM/363_adm_91.PNG,Original,0.779036,fake
ADM/365_adm_34.PNG,Original,0.951361,fake
ADM/365_adm_91.PNG,Original,0.832925,fake
ADM/366_adm_174.PNG,Original,0.940631,fake
ADM/368_adm_153.PNG,Original,0.911247,fake
ADM/369_adm_34.PNG,Original,0.893222,fake
ADM/369_adm_7.PNG,Original,0.830669,fake
ADM/36_adm_34.PNG,Original,0.669796,fake
ADM/370_adm_174.PNG,Original,0.977432,fake
ADM/371_adm_34.PNG,Original,0.853351,fake
ADM/372_adm_153.PNG,Original,0.897989,fake
ADM/372_adm_91.PNG,Original,0.895003,fake
ADM/373_adm_85.PNG,Original,0.914184,fake
ADM/375_adm_153.PNG,Original,0.707658,fake
ADM/375_adm_34.PNG,Original,0.916818,fake
ADM/377_adm_34.PNG,Original,0.975966,fake
ADM/377_adm_85.PNG,Original,0.967868,fake
ADM/378_adm_153.PNG,Original,0.952267,fake
ADM/378_adm_7.PNG,Original,0.886332,fake
ADM/380_adm_153.PNG,Original,0.945201,fake
ADM/380_adm_174.PNG,Original,0.949902,fake
ADM/381_adm_91.PNG,Original,0.832580,fake
ADM/382_adm_7.PNG,Original,0.989137,fake
ADM/382_adm_85.PNG,Original,0.787567,fake
ADM/384_adm_7.PNG,Original,0.400018,fake
ADM/385_adm_153.PNG,Original,0.917819,fake
ADM/386_adm_153.PNG,Original,0.925289,fake
ADM/388_adm_153.PNG,Original,0.912551,fake
ADM/388_adm_7.PNG,Original,0.985069,fake
ADM/38_adm_34.PNG,Original,0.848135,fake
ADM/390_adm_85.PNG,Original,0.861771,fake
ADM/391_adm_153.PNG,Original,0.295679,fake
ADM/391_adm_7.PNG,Original,0.826291,fake
ADM/392_adm_85.PNG,Original,0.037655,fake
ADM/393_adm_153.PNG,Original,0.236955,fake
ADM/393_adm_7.PNG,Original,0.387411,fake
ADM/396_adm_7.PNG,Original,0.162223,fake
ADM/396_adm_91.PNG,Original,0.207469,fake
ADM/397_adm_91.PNG,Original,0.290401,fake
ADM/398_adm_91.PNG,Original,0.077665,fake
ADM/39_adm_174.PNG,Original,0.829474,fake
ADM/39_adm_34.PNG,Original,0.985174,fake
ADM/400_adm_174.PNG,Original,0.147987,fake
ADM/401_adm_174.PNG,Original,0.496919,fake
ADM/401_adm_34.PNG,Original,0.188916,fake
ADM/401_adm_91.PNG,Original,0.162316,fake
ADM/402_adm_34.PNG,Original,0.358941,fake
ADM/403_adm_7.PNG,Original,0.121442,fake
ADM/408_adm_7.PNG,Original,0.171269,fake
ADM/409_adm_34.PNG,Original,0.587841,fake
ADM/409_adm_7.PNG,Original,0.082780,fake
ADM/409_adm_85.PNG,Original,0.097462,fake
ADM/409_adm_91.PNG,Original,0.086927,fake
ADM/410_adm_91.PNG,Original,0.082960,fake
ADM/411_adm_91.PNG,Original,0.067701,fake
ADM/412_adm_153.PNG,Original,0.171439,fake
ADM/412_adm_7.PNG,Original,0.193862,fake
ADM/413_adm_7.PNG,Original,0.937687,fake
ADM/415_adm_174.PNG,Original,0.267446,fake
ADM/415_adm_85.PNG,Original,0.106240,fake
ADM/416_adm_7.PNG,Original,0.261504,fake
ADM/416_adm_91.PNG,Original,0.052690,fake
ADM/417_adm_34.PNG,Original,0.558129,fake
ADM/418_adm_7.PNG,Original,0.323252,fake
ADM/418_adm_85.PNG,Original,0.135498,fake
ADM/419_adm_174.PNG,Original,0.185072,fake
ADM/419_adm_7.PNG,Original,0.077465,fake
ADM/41_adm_174.PNG,Original,0.193172,fake
ADM/420_adm_153.PNG,Original,0.113503,fake
ADM/420_adm_34.PNG,Original,0.166538,fake
ADM/422_adm_85.PNG,Original,0.091919,fake
ADM/426_adm_7.PNG,Original,0.037139,fake
ADM/427_adm_85.PNG,Original,0.157678,fake
ADM/429_adm_174.PNG,Original,0.121159,fake
ADM/42_adm_153.PNG,Original,0.551969,fake
ADM/431_adm_91.PNG,Original,0.085740,fake
ADM/432_adm_153.PNG,Original,0.090549,fake
ADM/432_adm_7.PNG,Original,0.081096,fake
ADM/435_adm_174.PNG,Original,0.053787,fake
ADM/435_adm_85.PNG,Original,0.062188,fake
ADM/437_adm_7.PNG,Original,0.648534,fake
ADM/440_adm_153.PNG,Original,0.126575,fake
ADM/440_adm_34.PNG,Original,0.178658,fake
ADM/441_adm_153.PNG,Original,0.419045,fake
ADM/441_adm_7.PNG,Original,0.074142,fake
ADM/442_adm_7.PNG,Original,0.019964,fake
ADM/443_adm_34.PNG,Original,0.176220,fake
ADM/443_adm_91.PNG,Original,0.048685,fake
ADM/444_adm_7.PNG,Original,0.295775,fake
ADM/445_adm_174.PNG,Original,0.820151,fake
ADM/446_adm_85.PNG,Original,0.139771,fake
ADM/447_adm_174.PNG,Original,0.102351,fake
ADM/447_adm_7.PNG,Original,0.221261,fake
ADM/448_adm_7.PNG,Original,0.110271,fake
ADM/448_adm_85.PNG,Original,0.255779,fake
ADM/448_adm_91.PNG,Original,0.219432,fake
ADM/449_adm_34.PNG,Original,0.607380,fake
ADM/44_adm_174.PNG,Original,0.755804,fake
ADM/44_adm_34.PNG,Original,0.364136,fake
ADM/44_adm_91.PNG,Original,0.632494,fake
ADM/452_adm_174.PNG,Original,0.104238,fake
ADM/453_adm_153.PNG,Original,0.037458,fake
ADM/455_adm_34.PNG,Original,0.083827,fake
ADM/455_adm_7.PNG,Original,0.370964,fake
ADM/456_adm_34.PNG,Original,0.092865,fake
ADM/456_adm_85.PNG,Original,0.872319,fake
ADM/459_adm_85.PNG,Original,0.437774,fake
ADM/45_adm_7.PNG,Original,0.439590,fake
ADM/462_adm_91.PNG,Original,0.083748,fake
ADM/464_adm_7.PNG,Original,0.102143,fake
ADM/465_adm_85.PNG,Original,0.097133,fake
ADM/466_adm_174.PNG,Original,0.166164,fake
ADM/468_adm_7.PNG,Original,0.423628,fake
ADM/46_adm_174.PNG,Original,0.889486,fake
ADM/46_adm_7.PNG,Original,0.955668,fake
ADM/46_adm_85.PNG,Original,0.974110,fake
ADM/472_adm_174.PNG,Original,0.110451,fake
ADM/472_adm_34.PNG,Original,0.127564,fake
ADM/473_adm_174.PNG,Original,0.063096,fake
ADM/473_adm_7.PNG,Original,0.156629,fake
ADM/473_adm_85.PNG,Original,0.040236,fake
ADM/474_adm_153.PNG,Original,0.132995,fake
ADM/474_adm_91.PNG,Original,0.174207,fake
ADM/475_adm_153.PNG,Original,0.875969,fake
ADM/475_adm_34.PNG,Original,0.523813,fake
ADM/478_adm_174.PNG,Original,0.102896,fake
ADM/479_adm_34.PNG,Original,0.542179,fake
ADM/47_adm_153.PNG,Original,0.731386,fake
ADM/480_adm_174.PNG,Original,0.116075,fake
ADM/480_adm_34.PNG,Original,0.044906,fake
ADM/481_adm_34.PNG,Original,0.076325,fake
ADM/481_adm_85.PNG,Original,0.880085,fake
ADM/483_adm_174.PNG,Original,0.837197,fake
ADM/483_adm_34.PNG,Original,0.300793,fake
ADM/484_adm_174.PNG,Original,0.039778,fake
ADM/486_adm_153.PNG,Original,0.347655,fake
ADM/488_adm_85.PNG,Original,0.248837,fake
ADM/489_adm_7.PNG,Original,0.068381,fake
ADM/48_adm_174.PNG,Original,0.605697,fake
ADM/48_adm_85.PNG,Original,0.903600,fake
ADM/490_adm_85.PNG,Original,0.218662,fake
ADM/495_adm_34.PNG,Original,0.192500,fake
ADM/496_adm_174.PNG,Original,0.166811,fake
ADM/497_adm_91.PNG,Original,0.715416,fake
ADM/499_adm_85.PNG,Original,0.486096,fake
ADM/49_adm_153.PNG,Original,0.618245,fake
ADM/4_adm_153.PNG,Original,0.768774,fake
ADM/4_adm_174.PNG,Original,0.349653,fake
ADM/501_adm_153.PNG,Original,0.043333,fake
ADM/501_adm_91.PNG,Original,0.056511,fake
ADM/502_adm_85.PNG,Original,0.175576,fake
ADM/504_adm_85.PNG,Original,0.856512,fake
ADM/505_adm_91.PNG,Original,0.222284,fake
ADM/506_adm_85.PNG,Original,0.058244,fake
ADM/508_adm_85.PNG,Original,0.094655,fake
ADM/509_adm_153.PNG,Original,0.137754,fake
ADM/509_adm_34.PNG,Original,0.109995,fake
ADM/50_adm_153.PNG,Original,0.308179,fake
ADM/510_adm_153.PNG,Original,0.601657,fake
ADM/511_adm_91.PNG,Original,0.053685,fake
ADM/512_adm_153.PNG,Original,0.316034,fake
ADM/512_adm_91.PNG,Original,0.336935,fake
ADM/513_adm_153.PNG,Original,0.074106,fake
ADM/513_adm_34.PNG,Original,0.089502,fake
ADM/514_adm_7.PNG,Original,0.181138,fake
ADM/514_adm_91.PNG,Original,0.180962,fake
ADM/515_adm_174.PNG,Original,0.140047,fake
ADM/515_adm_7.PNG,Original,0.140133,fake
ADM/518_adm_174.PNG,Original,0.062200,fake
