percentile,tampered_avg_iou,tampered_avg_dice,tampered_avg_pixel_f1,tampered_avg_precision,tampered_avg_recall,tampered_detection_rate,tampered_avg_bbox,clean_fp_rate,clean_avg_bbox
50,0.0124,0.0244,0.0244,0.0127,0.4378,1.0,9.7,1.0,9.8
60,0.011,0.0213,0.0213,0.0112,0.3026,1.0,9.7,1.0,9.8
70,0.0125,0.024,0.024,0.0128,0.2625,1.0,9.7,1.0,9.8
75,0.0138,0.0265,0.0265,0.0144,0.2435,1.0,9.7,1.0,9.8
80,0.0156,0.0297,0.0297,0.0164,0.2232,1.0,9.7,1.0,9.8
85,0.0172,0.0326,0.0326,0.0185,0.1947,1.0,9.7,1.0,9.8
90,0.0148,0.0286,0.0286,0.0171,0.136,1.0,9.7,1.0,9.8
92,0.0141,0.0273,0.0273,0.0167,0.1161,1.0,9.7,1.0,9.8
95,0.011,0.0215,0.0215,0.0136,0.0785,1.0,9.7,1.0,9.8
97,0.0088,0.017,0.017,0.0113,0.054,1.0,9.7,1.0,9.8
