scope,variant,sample_count,fake_recall,mean_fake_prob,mean_probability_delta,recall_retention
ADM,original,1000,0.37,0.4113342161849141,0.0,1.0
ADM,facebook,1000,0.018,0.10389929499430582,-0.3074349211906083,0.048648648648648644
ADM,wechat,1000,0.244,0.3114530309056863,-0.09988118527922779,0.6594594594594595
ADM,weibo,1000,0.247,0.3107636951180175,-0.10057052106689662,0.6675675675675675
BigGAN,original,1000,0.949,0.8839884054437279,0.0,1.0
BigGAN,facebook,1000,0.024,0.1304695662483573,-0.7535188391953707,0.025289778714436252
BigGAN,wechat,1000,0.713,0.673037022287026,-0.21095138315670192,0.7513171759747103
BigGAN,weibo,1000,0.719,0.6821123691406101,-0.20187603630311787,0.7576396206533192
Glide,original,1000,0.729,0.6980750893615186,0.0,1.0
Glide,facebook,1000,0.086,0.18099558595847337,-0.5170795034030452,0.11796982167352538
Glide,wechat,1000,0.592,0.5866461934112013,-0.11142889595031738,0.812071330589849
Glide,weibo,1000,0.575,0.5785317045096308,-0.11954338485188783,0.7887517146776406
Midjourney,original,1000,0.492,0.4983313524629921,0.0,1.0
Midjourney,facebook,1000,0.387,0.41036193098686635,-0.08796942147612571,0.7865853658536586
Midjourney,wechat,1000,0.39,0.4108024607244879,-0.08752889173850417,0.7926829268292683
Midjourney,weibo,1000,0.387,0.4103327756933868,-0.08799857676960528,0.7865853658536586
SD14,original,1000,0.725,0.6960877520721406,0.0,1.0
SD14,facebook,1000,0.429,0.4451926864972338,-0.25089506557490676,0.5917241379310345
SD14,wechat,1000,0.638,0.6203202983243391,-0.07576745374780149,0.88
SD14,weibo,1000,0.628,0.6152299522366375,-0.0808577998355031,0.8662068965517241
SD15,original,1000,0.731,0.6916122598815709,0.0,1.0
SD15,facebook,1000,0.383,0.4108539715670049,-0.280758288314566,0.5239398084815322
SD15,wechat,1000,0.608,0.5970564445164055,-0.09455581536516547,0.8317373461012312
SD15,weibo,1000,0.597,0.5886392032820731,-0.10297305659949779,0.8166894664842681
VQDM,original,1000,0.132,0.21994866687618195,0.0,1.0
VQDM,facebook,1000,0.003,0.08840632324526086,-0.1315423436309211,0.022727272727272728
VQDM,wechat,1000,0.069,0.1683382933717221,-0.05161037350445986,0.5227272727272727
VQDM,weibo,1000,0.062,0.16356623944174498,-0.05638242743443698,0.46969696969696967
Wukong,original,1000,0.636,0.6279573455993086,0.0,1.0
Wukong,facebook,1000,0.404,0.4277867904091254,-0.20017055519018323,0.6352201257861636
Wukong,wechat,1000,0.601,0.5937479185182601,-0.03420942708104849,0.9449685534591195
Wukong,weibo,1000,0.586,0.585809494195506,-0.04214785140380263,0.921383647798742
